GEOGRAPHY,YEAR,VIOLATIONS,INCIDENTS,RATES
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,Homicide,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,Homicide,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,Homicide,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,Homicide,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,Homicide,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,Homicide,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,Homicide,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,Homicide,0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Possession, cannabis",12,58.03
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Possession, cannabis",26,126.1
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,"Possession, cannabis",34,165.53
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,"Possession, cannabis",41,199.2
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,"Possession, cannabis",43,209.29
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,"Possession, cannabis",29,140.64
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,"Possession, cannabis",22,106.66
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,"Possession, cannabis",23,110.88
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Possession, cocaine",1,4.84
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Possession, cocaine",1,4.85
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,"Possession, cocaine",2,9.74
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,"Possession, cocaine",1,4.86
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,"Possession, cocaine",4,19.47
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,"Possession, cocaine",5,24.25
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,"Possession, cocaine",1,4.85
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,"Possession, cocaine",3,14.46
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Sexual assault, level 1",11,53.2
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Sexual assault, level 1",12,58.2
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2015 12:00:00 AM,"Sexual assault, level 1",9,43.82
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2014 12:00:00 AM,"Sexual assault, level 1",10,48.59
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2013 12:00:00 AM,"Sexual assault, level 1",13,63.27
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2012 12:00:00 AM,"Sexual assault, level 1",14,67.9
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2011 12:00:00 AM,"Sexual assault, level 1",11,53.33
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2010 12:00:00 AM,"Sexual assault, level 1",16,77.13
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2017 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
"Annapolis County, Nova Scotia, Royal Canadian Mounted Police, rural",12/31/2016 12:00:00 AM,"Sexual assault, level 2, weapon or bodily harm",0,0
